id,text,emojis,sticker_tags,label,split
1,"I clarified it; All good, send me the link. stop",,boom-hard,polite,train
2,This is clear. Could you also update the other part? nice,👏,ghost,polite,train
3,"Thanks for the branch, that was nice. already",👍,medal,polite,train
4,"Thanks, Noted. I'll take it from here",,plug,polite,train
5,"Thanks for the module, that was clear. review",😌,skull,polite,test
6,This is thoughtful. Could you also check the other part? clarify,🙄,ok-hand,polite,test
7,"Can you confirm this today, please? time",😉,celebrate,polite,train
8,This is careful. Could you also send the other part?,😐,yawn,polite,train
9,Makes sense. Let me know if you need help.,😉,hmm,polite,val
10,Could you check this when you can please?,🥳,ok,polite,train
11,"Hi, your PR looks great. gentle",😐,,polite,test
12,Okay. Let me know if you need help. great,😌,guitar,polite,val
13,It would be helpful if you can confirm it after lunch. great,👍,thumbs-up,polite,train
14,"Thanks for the patch, that was fine. done",🎉,paperclip,polite,train
15,"Can you clean this now, ? ship",👍,exclamation,polite,train
16,"Hello, your work looks clear.",🥳,,polite,train
17,Please update the patch before standup. note,👏,idea,polite,test
18,"Thanks for the change, that was nice.",😄,party-popper,polite,train
19,Please fix the patch tomorrow. gentle,💖,paperclip,polite,test
20,Please explain the report after lunch. sync,🥳,celebrate,polite,train
21,Okay. Let me know if you need help. send,🤩,tada,polite,val
22,Please explain the work before standup.,🤝,thumbs-down,polite,test
23,"Can you check this next hour, ? already",🙂,key,polite,train
24,It would be careful if you can check it today. version,🤩,tea,polite,train
25,This is solid. Could you also redo the other part? please,🎉,angry,polite,train
26,I appreciate the patch.,🙂,,polite,train
27,"Can you finish this today, ? gentle",😊,tada,polite,train
28,It would be clear if you can explain it after lunch. wow,😐,,polite,train
29,"Thanks, Makes sense. send me the link already",👍,zzz,polite,train
30,"Hi, your idea looks nice.",😁,party,polite,train
31,"I reviewed it; Noted, please share the details.",😉,lightbulb,polite,train
32,It would be clear if you can ship it before standup. ping,🤝,eyeroll,polite,train
33,I appreciate the PR. sync,👏,star,polite,train
34,"Thanks for the PR, that was fine. great",🤝,medal,polite,train
35,"Can you clarify this after lunch, please?",🙄,celebrate,polite,train
36,I appreciate the work.,👏,nerd,polite,test
37,I appreciate the report.,💖,medal,polite,train
38,This is great. Could you also explain the other part?,😄,trophy,polite,train
39,"Hi, your update looks useful.",🤞,explode,polite,train
40,All good. Let me know if you need help. work,😄,zzz,polite,train
41,This is nice. Could you also confirm the other part? check,🎉,bell,polite,val
42,I appreciate the update. update,👍,ghost,polite,train
43,Understood. Let me know if you need help. later,😉,party,polite,train
44,"Thanks for the work, that was clear. deploy",😬,eyeroll,polite,test
45,"Thanks, Okay. send me the link help",😬,,polite,train
46,Understood. Let me know if you need help. maybe,😌,gasp,polite,train
47,It would be great if you can fix it tomorrow. time,✨,music,polite,train
48,This is clear. Could you also update the other part? ship,🎉,hourglass,polite,val
49,Please clean the work before standup.,🙂,ghost,polite,train
50,Could you explain this next hour ? time,😁,video,polite,train
51,Got it. Let me know if you need help. work,👍,tada,polite,test
52,"Hello, your doc looks thoughtful. please",🥳,boom,polite,train
53,"Can you send this by EOD, please?",🙌,lightbulb,polite,train
54,"I redid it; Okay, I'll take it from here. detail",🤩,idea,polite,train
55,"Hello, your update looks fine.",👍,hmm,polite,val
56,"Thanks, Understood. send me the link",🙂,cheers,polite,train
57,"Hello, your report looks nice. redo",🤝,camera,polite,train
58,This is useful. Could you also explain the other part?,✨,wifi,polite,test
59,Makes sense. Let me know if you need help. sure,🤩,,polite,train
60,"Can you update this when you can, please?",😁,sweat,polite,train
61,"Can you send this ASAP, please? detail",🙌,facepalm,polite,train
62,Could you clean this now please?,🎉,sparkles,polite,train
63,"I checked it; Okay, we can sync later.",🤗,gasp,polite,train
64,I appreciate the report. note,😊,,polite,train
65,This is thoughtful. Could you also redo the other part?,🙂,tada,polite,train
66,"Can you finish this now, ?",😄,skull,polite,train
67,"Hi, your report looks solid. deploy",😁,whistle,polite,train
68,"Can you ship this today, please? send",😉,shrug,polite,test
69,"Thanks, Understood. ping me if stuck",😕,exclamation,polite,train
70,"Thanks, Noted. please share the details send",👏,cheers,polite,train
71,It would be nice if you can clarify it when you can.,🙂,bicep,polite,train
72,"Can you clarify this by EOD, ? done",🙂,bulb,polite,val
73,"Hey, your doc looks solid. clean",🤗,party,polite,train
74,"Thanks, All good. send me the link help",✨,confused,polite,train
75,"Thanks, Understood. send me the link nice",🥳,,polite,train
76,Please confirm the module soon. clean,😬,check,polite,train
77,"I updated it; Okay, send me the link. already",🤩,trophy,polite,val
78,"Thanks, Understood. please share the details clarify",👍,zzz,polite,train
79,"Can you redo this today, please?",😊,thumbs-side,polite,val
80,It would be polished if you can deploy it now. deploy,😕,,polite,train
81,This is fine. Could you also explain the other part? ping,💖,hug,polite,val
82,"Thanks, All good. ping me if stuck wow",👍,celebrate,polite,train
83,"Can you ship this today, please? clarify",👍,hearts,polite,train
84,Please explain the report tomorrow. fix,🙄,whistle,polite,train
85,Please ship the module by EOD. now,🤩,pointer,polite,val
86,I appreciate the branch. explain,🙂,applause,polite,train
87,I appreciate the idea. again,🤦,boo,polite,val
88,"I clarified it; Noted, we can sync later. great",💖,hourglass,polite,train
89,"Thanks, All good. we can sync later ping",😌,wave,polite,train
90,"Can you deploy this ASAP, please? clean",🙌,slow-clap,polite,train
91,Noted. Let me know if you need help. ping,🎉,lightbulb,polite,val
92,I appreciate the update. maybe,🤩,eyeroll-hard,polite,train
93,It would be careful if you can confirm it soon. confirm,😉,question,polite,val
94,"Thanks, Okay. send me the link check",✨,pointer,polite,train
95,All good. Let me know if you need help. clarify,😌,rainbow,polite,train
96,"Thanks for the task, that was useful. send",🤝,hug,polite,train
97,I appreciate the change. send,😬,bicep,polite,val
98,"I updated it; Got it, we can sync later. idea",,,polite,train
99,"Hello, your change looks nice. help",😁,victory,polite,test
100,I appreciate the ticket. okay,🤝,key,polite,test
101,"Thanks for the doc, that was useful. update",🙂,blush,polite,val
102,"Thanks for the work, that was helpful. sync",😊,blush,polite,train
103,"Thanks, Makes sense. add a note firm",🤩,hug,polite,train
104,Please check the module before standup.,😐,rainbow,polite,train
105,"Thanks, Understood. we can sync later thanks",😊,tada,polite,train
106,It would be fine if you can redo it when you can.,😐,battery,polite,val
107,"Thanks, Got it. I'll take it from here done",,drum,polite,val
108,Please clean the task tomorrow. context,🙏,hmm,polite,train
109,I appreciate the idea. again,🤞,hug,polite,val
110,"Hi, your update looks useful.",💖,idea,polite,train
111,This is helpful. Could you also confirm the other part? check,🙂,,polite,val
112,"Hi, your report looks nice.",😊,,polite,val
113,Makes sense. Let me know if you need help.,🙄,trophy,polite,val
114,Noted. Let me know if you need help. check,🎉,calendar,polite,train
115,"I sent it; Noted, I'll take it from here.",🤩,,polite,train
116,"Can you redo this now, ? time",🤗,,polite,train
117,"Can you confirm this next hour, ? ping",👏,,polite,train
118,"I finished it; Understood, send me the link.",👏,mic-drop,polite,train
119,I appreciate the work. please,🤞,100,polite,test
120,I appreciate the PR. now,👍,,polite,train
121,"Thanks for the PR, that was polished.",🤝,coffee,polite,train
122,Please update the ticket next hour. thanks,🙏,pinch,polite,train
123,It would be fine if you can ship it after lunch. wow,🙄,exclamation,polite,train
124,Could you clarify this soon ? really,🙂,cheers,polite,train
125,"I checked it; Got it, add a note. clarify",🤗,,polite,train
126,"Thanks for the task, that was thoughtful. sync",,alarm,polite,train
127,I appreciate the PR.,👍,lightbulb,polite,train
128,Please send the change before standup.,,grimace,polite,train
129,This is thoughtful. Could you also clean the other part? done,🙂,chip,polite,train
130,This is fine. Could you also finish the other part? really,💖,sunglasses,polite,train
131,"Hi, your change looks fine. fix",😁,thumbs-up,polite,train
132,"Thanks for the change, that was nice. sure",,eyeroll-hard,polite,train
133,Could you ship this soon ? really,🤗,mindblown,polite,train
134,Noted. Let me know if you need help.,🙂,,polite,train
135,Could you update this before standup ? note,😄,medal,polite,train
136,"Can you redo this soon, ? note",,pinch,polite,train
137,"Thanks, Got it. add a note really",💖,chart-up,polite,train
138,This is helpful. Could you also update the other part? time,😁,ok,polite,test
139,Please finish the idea now. gentle,🙌,satellite,polite,train
140,"Hi, your work looks clear. firm",🎉,calendar,polite,train
141,"I deployed it; All good, ping me if stuck. work",✨,zzz,polite,val
142,I appreciate the PR. again,😁,cross,polite,train
143,All good. Let me know if you need help. ping,🙂,,polite,train
144,It would be clear if you can clean it tomorrow. help,✨,satellite,polite,val
145,I appreciate the ticket. okay,✨,explode,polite,test
146,"Can you send this soon, please? update",💖,bulb,polite,train
147,"I sent it; Got it, send me the link. clarify",,paperclip,polite,test
148,"Can you deploy this now, please? time",🙏,,polite,test
149,Understood. Let me know if you need help.,👏,tea,polite,train
150,"I explained it; All good, add a note.",😊,100,polite,train
151,"I sent it; Understood, we can sync later. tone",,sleepy,polite,train
152,"Hey, your doc looks careful. again",🎉,tada,polite,train
153,Please update the doc tomorrow. maybe,👏,bulb,polite,test
154,"Hi, your update looks careful. wow",😕,hmm,polite,train
